ssoid;ts;grp;type;subtype;url;orgid;formid;code;ltpa;sudirresponse;ymdh
650ae77a-ffce-475d-a930-c7e345e0658c;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
aeadac26-3e19-438b-8e4a-a1ae754bbe41;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
Unauthorized;2499763594;gibdd_fines;formcontroller;start;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_1;gibdd;fines;MPGU;;;2017-07-11-09
1f5ffc1e-0845-4a13-9647-a78081b6dc13;2499763594;mosenergo_counters;formcontroller;start;https://www.mos.ru/pgu/ru/application/mosenergo/counters/;mosenergo;counters;MPGU;;;2017-07-11-09
7693d80e-cd53-4534-8e2c-302de95a750f;2499763594;dogm_77060201;formcontroller;start;https://www.mos.ru/pgu/ru/application/dogm/77060201/;dogm;77060201;MPGU;;;2017-07-11-09
7d839abc-845c-4a29-a670-a3958091f7e2;2499763594;1111;addCounter;fail;;;;;;;2017-07-11-09
4a9bbfc4-19f4-4c28-adeb-a43f3484baa3;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
8fda7b10-4cf1-4a9d-aa6c-7e75d28c9bc7;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=topmenu#step_1;guis;-47;MPGU;;;2017-07-11-09
d6fb3532-1f9f-4813-bc96-08414b95bb09;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
Unauthorized;2499763594;charges;search;success;;;;;;;2017-07-11-09
a38c4052-54ac-4a49-88dc-c6c6d8b81fbe;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#;guis;-47;MPGU;;;2017-07-11-09
4ceecd59-20b4-44f2-93a5-4e66dfef979e;2499763594;charges;search;success;;;;;;;2017-07-11-09
4a9bbfc4-19f4-4c28-adeb-a43f3484baa3;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
1665ee2e-8d27-4c70-9156-7df40303f268;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
1665ee2e-8d27-4c70-9156-7df40303f268;2499763594;guis-47;getEpd;fail;https://www.mos.ru/pgu/ru/application/guis/-47/#step_2;guis;-47;MPGU;;;2017-07-11-09
5e49d876-d214-47a3-80c8-f606f41e5b6c;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#;guis;-47;MPGU;;;2017-07-11-09
714c2780-7c8d-474f-a8f3-8171a95c7ebb;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
8b9e6135-4eb1-4260-91ab-a7469bec4cda;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/;guis;-47;MPGU;;;2017-07-11-09
d474de06-f020-4ea0-94df-fb47fee92976;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
4d0cb8c8-0b5c-48a8-82c3-fe04e92f7153;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
2670d3c1-e05e-470e-a4df-301e291f0eb1;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/#;guis;-47;MPGU;;;2017-07-11-09
c732635d-df10-4051-b4b6-9abec3ba5c31;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
94b884fb-8ba4-4108-970e-f8dd24593b30;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular;guis;-47;MPGU;;;2017-07-11-09
d3958e99-d52d-4deb-9eb1-2cfda5b659f4;2499763594;guis_1111;step;change;https://www.mos.ru/pgu/ru/application/guis/1111/#step_1;guis;1111;MPGU;;;2017-07-11-09
30c58fa1-ed32-47b3-98a5-8e0de5d1c263;2499763594;guis-47;bill;pay;;;;;;;2017-07-11-09
8906864a-3bda-4264-ac20-d436b6ef0ca1;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
99166e15-a4ed-4c62-b2cc-3ba01fc0e424;2499763594;dtis_020301;formcontroller;start;https://www.mos.ru/pgu/ru/application/dtis/020301/;dtis;20301;MPGU;;;2017-07-11-09
9f5de921-42ca-4d21-9f3f-e3e72289ea0c;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/;guis;-47;MPGU;;;2017-07-11-09
60a6b31b-b221-423a-aff2-435bc8d96d42;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
abd580c7-77bb-443b-b99a-04d1045908f1;2499763594;elk;save;cancel;https://www.mos.ru/pgu/ru/application/dszn/060103/#step_3;dszn;60103;MPGU;;;2017-07-11-09
5e45edb2-dd5a-4032-9021-1efa6518c819;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
a8c4dcb8-999d-48a0-8367-7b007e978abd;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular;guis;-47;MPGU;;;2017-07-11-09
5e49d876-d214-47a3-80c8-f606f41e5b6c;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
aeadac26-3e19-438b-8e4a-a1ae754bbe41;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#;guis;-47;MPGU;;;2017-07-11-09
aeadac26-3e19-438b-8e4a-a1ae754bbe41;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#;guis;-47;MPGU;;;2017-07-11-09
a862e41d-e005-498c-af63-f8fe6ae51252;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
9fe851ef-07ca-4e9a-b872-89f6448e5c49;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
26818246-4cd7-4eb8-92df-c76fb556e2ec;2499763594;guis-47;getEpd;fail;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
1a6483bb-1785-4ae6-b0ce-c73b97370f12;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
fa476e03-fb23-4826-9d38-ee8358aa74ca;2499763594;dtis_020301;formcontroller;send;https://www.mos.ru/pgu/ru/application/dtis/020301/#step_8;dtis;20301;MPGU;;;2017-07-11-09
26da9dad-4197-4a20-8ecc-223b7e8a5441;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#;guis;-47;MPGU;;;2017-07-11-09
edd18a21-5cc0-4112-b55b-c90fcf1adf37;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
1f325cd2-26d0-479f-bb4b-1ac16bb06a4e;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
dd0c4198-75e8-4a07-a7b8-842687f1e399;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
c732635d-df10-4051-b4b6-9abec3ba5c31;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
2c88dc4c-0298-42c7-885d-80444e4c1693;2499763594;mosenergo_counters;step;change;https://www.mos.ru/pgu/ru/application/mosenergo/counters/?onsite_from=popular#step_1;mosenergo;counters;MPGU;;;2017-07-11-09
07093521-0b29-4f85-8640-f7bd0b410e17;2499763594;mvk_047501;formcontroller;start;https://www.mos.ru/pgu/ru/application/mvk/047501/;mvk;47501;MPGU;;;2017-07-11-09
11de3014-fcbc-43f9-960d-23436a686a6e;2499763594;guis-47;getEpd;fail;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
10b25153-01f6-4072-8f22-a5a6c7f91bbf;2499763594;dogm_04201;answer;done;https://www.mos.ru/pgu/ru/application/dogm/040201/?onsite_from=topindex#step_1;dogm;40201;MPGU;;;2017-07-11-09
10b25153-01f6-4072-8f22-a5a6c7f91bbf;2499763594;dogm_04201;request;sent;https://www.mos.ru/pgu/ru/application/dogm/040201/?onsite_from=topindex#step_1;dogm;40201;MPGU;;;2017-07-11-09
Unauthorized;2499763594;gibdd_fines;formcontroller;start;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=32532#step_1;gibdd;fines;MPGU;;;2017-07-11-09
b281dda7-72e9-4f76-87d5-cf25c178e909;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular;guis;-47;MPGU;;;2017-07-11-09
d6bae8da-2916-481a-a179-690c46258480;2499763594;guis_1111;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/1111/?onsite_from=popular#step_1;guis;1111;MPGU;;;2017-07-11-09
02facbeb-4fe8-4fd5-bd59-76978f27d3ba;2499763594;gibdd_fines;step_epsh;success;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_2;gibdd;fines;MPGU;;;2017-07-11-09
71d7d922-7360-4ae3-8296-d94120e854c9;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
ba023c8e-ea63-45a2-a74a-1a731ff16440;2499763594;charges;search;success;;;;;;;2017-07-11-09
03b366e9-e7b4-4667-9fcd-f0365ed7aa19;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/#step_2;guis;-47;MPGU;;;2017-07-11-09
03b366e9-e7b4-4667-9fcd-f0365ed7aa19;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
1f5ffc1e-0845-4a13-9647-a78081b6dc13;2499763594;mosenergo_counters;step;change;https://www.mos.ru/pgu/ru/application/mosenergo/counters/#step_1;mosenergo;counters;MPGU;;;2017-07-11-09
3c43ae98-067d-4e6b-8fd4-f1c489db471b;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
f922c942-6987-46ab-be82-7130639d996b;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
4de1893e-ac49-4021-9622-bd05e7a135eb;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
27a4c882-a247-4c73-90e0-2ed29acbd003;2499763594;dogm_journal;enter;service;https://www.mos.ru/pgu/ru/application/dogm/journal/#step_1;dogm;journal;MPGU;;;2017-07-11-09
8fda7b10-4cf1-4a9d-aa6c-7e75d28c9bc7;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=topmenu#step_1;guis;-47;MPGU;;;2017-07-11-09
c84e60fb-6a0e-4ff8-9893-1b0ed1fe772f;2499763594;elk;save;cancel;https://www.mos.ru/pgu/ru/application/mosobr/77060601/#step_1;mosobr;77060601;MPGU;;;2017-07-11-09
4a8da622-e783-48e8-86e7-04e01d02c448;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
a2a4a617-c7d0-4acd-8447-29d08d6201f2;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
4ceecd59-20b4-44f2-93a5-4e66dfef979e;2499763594;charges;search;success;;;;;;;2017-07-11-09
71d7d922-7360-4ae3-8296-d94120e854c9;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
e1739171-6cb6-419d-9fbf-1a999d579b0c;2499763594;mosenergo_counters;step;change;https://www.mos.ru/pgu/ru/application/mosenergo/counters/#step_1;mosenergo;counters;MPGU;;;2017-07-11-09
9a9e5fe6-d73d-457a-a013-e95c3ae5ce49;2499763594;gibdd_fines;step_epsh;success;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_2;gibdd;fines;MPGU;;;2017-07-11-09
Unauthorized;2499763594;charges;search;success;;;;;;;2017-07-11-09
8c310662-6082-48f8-9d98-155b6c3ea5a5;2499763594;msr_010303;search;not-found;;;;;;;2017-07-11-09
Unauthorized;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
8dfae665-51f2-45e6-8e5e-0a70382ce1cb;2499763594;guis-47;bill;pay;;;;;;;2017-07-11-09
99166e15-a4ed-4c62-b2cc-3ba01fc0e424;2499763594;dtis_020301;step;change;https://www.mos.ru/pgu/ru/application/dtis/020301/#step_7;dtis;20301;MPGU;;;2017-07-11-09
99166e15-a4ed-4c62-b2cc-3ba01fc0e424;2499763594;dtis_020301;step;change;https://www.mos.ru/pgu/ru/application/dtis/020301/#step_7;dtis;20301;MPGU;;;2017-07-11-09
2738993b-0a84-4df1-b6dc-ae6803d1458d;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
edd3dc3c-69ec-449f-89d5-89dd4ffdec29;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
3c43ae98-067d-4e6b-8fd4-f1c489db471b;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
d4f7e6fc-e87e-41d3-9167-c271bead9d79;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
fccf33a2-e63a-4eee-9bb1-ca12591570cf;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/;guis;-47;MPGU;;;2017-07-11-09
68a065ba-2cad-4507-888a-dff058e5c1e8;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#;guis;-47;MPGU;;;2017-07-11-09
029cc825-5ad9-420f-b23c-82ec0261de03;2499763594;gibdd_fines;step;change;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_1;gibdd;fines;MPGU;;;2017-07-11-09
aeadac26-3e19-438b-8e4a-a1ae754bbe41;2499763594;guis-47;bill;pay;;;;;;;2017-07-11-09
de20e6fd-9a99-4d66-ad3e-93b4899aae3d;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
8906864a-3bda-4264-ac20-d436b6ef0ca1;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
f921804b-c5ad-417c-ab17-3c58ec1acb2a;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
71cd686c-cfb1-43e2-96ac-d12000b5c415;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular;guis;-47;MPGU;;;2017-07-11-09
7f558633-bf43-4d3b-b29c-bf0727789297;2499763594;dogm_040201;step;change;https://www.mos.ru/pgu/ru/application/dogm/040201/?onsite_from=popular#step_1;dogm;40201;MPGU;;;2017-07-11-09
0b1a6e33-bd4c-4a9a-a7e6-54a67896c7c9;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#;guis;-47;MPGU;;;2017-07-11-09
2c5bcf7b-7f49-4464-b31f-2fc5e4e3fae2;2499763594;oati_021201;step;change;https://www.mos.ru/pgu/ru/application/oati/021201/#step_2;oati;21201;MPGU;;;2017-07-11-09
8f21e02c-d1ae-424f-8b56-3b1aa99f9b0f;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
7e19c0a1-c44b-4ddf-879e-57948fd32426;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
0bcb9678-75cb-4cdf-b67a-2e6e33ad7c4f;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
08c330a0-d786-4393-a837-389ca830d838;2499763594;charges;search;success;;;;;;;2017-07-11-09
e24938af-817b-4a37-a426-fdb3b4e762fd;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
81083f44-0758-40b1-aa8b-cd7469e0defc;2499763594;1111;addError;5;;;;;;;2017-07-11-09
67de3a1a-1e19-4c08-b338-4d25297b90f1;2499763594;dzm_086901;step;change;https://www.mos.ru/pgu/ru/application/dzm/086901/#step_2;dzm;86901;MPGU;;;2017-07-11-09
f32fcc85-9e01-474b-9085-01053adda89f;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
2738993b-0a84-4df1-b6dc-ae6803d1458d;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
26da9dad-4197-4a20-8ecc-223b7e8a5441;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#;guis;-47;MPGU;;;2017-07-11-09
965157d3-9aaa-47d4-b658-9c963499da7c;2499763594;guis-47;getEpd;fail;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
965157d3-9aaa-47d4-b658-9c963499da7c;2499763594;guis-47;getEpd;fail;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
d474de06-f020-4ea0-94df-fb47fee92976;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
8fda7b10-4cf1-4a9d-aa6c-7e75d28c9bc7;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
9237b987-4683-44b0-81b5-c97466c7c594;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular;guis;-47;MPGU;;;2017-07-11-09
dec345ca-e5dd-4449-ba56-08a9782feb06;2499763594;gibdd_fines;step_epsh;success;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_2;gibdd;fines;MPGU;;;2017-07-11-09
cefcbb44-399c-450e-a2c4-06eb083fe734;2499763594;mosenergo_counters;formcontroller;start;https://www.mos.ru/pgu/ru/application/mosenergo/counters/?onsite_from=popular#step_1;mosenergo;counters;MPGU;;;2017-07-11-09
Unauthorized;2499763594;charges;search;success;;;;;;;2017-07-11-09
73d871a4-6a35-4920-82e5-11d81762b502;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
abd580c7-77bb-443b-b99a-04d1045908f1;2499763594;elk;save;cancel;https://www.mos.ru/pgu/ru/application/dszn/006101/#step_3;dszn;6101;MPGU;;;2017-07-11-09
35f0ba9a-3a4e-4af6-aafd-8afc5c3fc4e5;2499763594;mosenergo_counters;formcontroller;start;https://www.mos.ru/pgu/ru/application/mosenergo/counters/?onsite_from=popular#step_1;mosenergo;counters;MPGU;;;2017-07-11-09
766767c3-23c5-4830-a3b8-e4bf218de8fb;2499763594;1111;getCounter;success;;;;;;;2017-07-11-09
b93cdee0-5add-49f0-86fc-15747b2387c4;2499763594;clinics_review;cancel;after;;;;;;;2017-07-11-09
03b366e9-e7b4-4667-9fcd-f0365ed7aa19;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
d0f3a4b0-2f96-4276-b1e8-b0c71992aee1;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
8562d20e-a220-43a5-8b4a-a7c26dd17a81;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
0bcb9678-75cb-4cdf-b67a-2e6e33ad7c4f;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
8b9e6135-4eb1-4260-91ab-a7469bec4cda;2499763594;guis-47;bill;pay;;;;;;;2017-07-11-09
d41d4947-ee3c-496b-bf0a-44bfe73acba5;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
0065c20c-845b-4ca5-bc86-a735b1877a2f;2499763594;gibdd_fines;formcontroller;start;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_1;gibdd;fines;MPGU;;;2017-07-11-09
2f7e3730-c003-46c9-a90d-29abd799d047;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
